"";"";"";"";""
"Metody";"INVITE";"RFC3261";"https://tools.ietf.org/html/rfc3261#section-13";"INVITE to podstawa każdego połączenia telefonicznego SIP. To dzięki tej wiadomości następuje stworzenie sesji. Wiadomość ta jest wysyłana od osoby dzwoniącej do użytkownika docelowego. Nagłówki SIP zawarte w tym żądaniu dostarczają informację o parametrach tworzonej sesji. Dodatkowo wysyłane są parametry do inicjalizacji strumieni mediów w formacie SDP (Session Description Protocol)\\nWymagane nagłówki: Via, To, From, Call-ID, CSeq, Contact, Max-Forwards, Content-Type, Content-Length."
"Metody";"ACK";"RFC3262";"https://tools.ietf.org/html/rfc3261#section-17.1.1.3";"ACK służy do potwierdzenia ostatecznej odpowiedzi na wiadomość INVITE. Może zawierać parametry SDP, jeżeli nie było tych informacji z zapytaniu INVITE. Wiadomość ACK nie może być używana do modyfikowania parametrów które zostały wysłane za pomocą wiadomości INVITE. Serwery proxy powinny być w stanie określić czy powinny obsłużyć wiadomość ACK, czy muszą ją przekazać dalej. Wiadomość ta jest także używana, gdy serwery proxy znajdują się na trasie połączenia w celu potwierdzenia, że wiadomości z kodami odpowiedzi zostały poprawnie przekazane.\\nWymagane nagłówki: Call-ID, CSeq, From, Max-Forwards, To, Via, Content-Length."
"Metody";"REGISTER";"RFC3262";"https://tools.ietf.org/html/rfc3261#section-10";"REGISTER kojarzy identyfikator użytkownika lub adres rekordu ( AOR ) z jedną lub więcej lokalizacjami. Można rejestrować AOR na kilku urządzeniach. Wiązanie następuje poprzez wysłanie adresu IP w nagłówku Contact. Nagłówek ten jest wysyłany podczas rejestracji.\\nRejestracje są oparte na czasie i ostatecznie wygasną. Wymaga to od klienta odświeżania REGISTER za pomocą nowej wiadomości. Nowa wiadomość REGISTER musi zawierać ten sam nagłówek Contact, From, To, Call-ID. Dzięki temu rejestrator SIP może odświeżyć rejestrację. Pole CSeq przy każdym nowym wysłaniu wiadomości REGISTER musi być inkrementowane.\\nWymagane nagłówki: Call-ID, CSeq, From, Max-Forwards, To, Via, Content-Length."
"Kod odpowiedzi";"100 Trying";"RFC3263";"https://tools.ietf.org/html/rfc3261#section-21.1.1";"Odpowiedź wskazuje, że zadanie zostało odebrane przez następny serwer i jest aktualnie obsługiwane. Odpowiedź ta zatrzymuje retransmisje INVITE przez UAC. Odpowiedź ta różni się od innych tymczasowych tym, że nigdy nie jest przekazywana w górę połączenia."
"Kod odpowiedzi";"180 Ringing";"RFC3264";"https://tools.ietf.org/html/rfc3261#section-21.1.2";"Odpowiedź wskazuje, że użytkownik docelowy dostał informacje o połączeniu i aktualnie jego terminal dzwoni. Ta wiadomość może posłużyć do zainicjowania lokalnego oddzwonienia."
"Kod odpowiedzi";"200 OK";"RFC3265";"https://tools.ietf.org/html/rfc3261#section-21.2.1";"Odpowiedź wskazuje, że wysłane żądanie powiodło się. Informacje zwrócone w tej wiadomości zależą od wykorzystanej metody w żądaniu"
"Kod odpowiedzi";"401 Unauthorized";"RFC3265";"https://tools.ietf.org/html/rfc3261#section-21.4.2";"Wysłane żądanie wymaga uwierzytelnienia użytkownika. Odpowiedź ta posiada wszystkie niezbędne parametry, aby użytkownik wysłał poprawnie dane do autoryzacji."
"Kod odpowiedzi";"407 Proxy Authentication Required";"RFC3265";"https://tools.ietf.org/html/rfc3261#section-21.4.8";"Wiadomość jest podobna do wiadomości o kodzie 401, jednak wskazuje, że klient najpierw musi uwierzytelnić się na serwerze proxy."
"Nagłówek";"Authorization";"RFC3265";"https://tools.ietf.org/html/rfc3261#section-20.7";"Nagłówek Authorization zawiera dane uwierzytelniające klienta. Chociaż nie jest to lista oddzielona przecinkami, ta nazwa pola nagłówka może występować wiele razy i nie może być łączona w pojedynczą linię nagłówka.\\nPrzykład:\\nAuthorization: Digest username=""Alice"", realm=""atlanta.com"",\\n nonce=""84a4cc6f3082121f32b42a2187831a9e"",\\n response=""7587245234b3434cc3412213e5f113a5432"""
"Nagłówek";"Call-ID";"RFC3265";"https://tools.ietf.org/html/rfc3261#section-20.8";"Nagłówek Call-ID jednoznacznie identyfikuje wszystkie wiadomości INVITE i rejestracje konkretnego klienta. Pojedyncza konferencja multimedialna może prowadzić do kilku połączeń z różnymi identyfikatorami połączeń, na przykład, jeśli użytkownik zaprasza kilkakrotnie osobę do tej samej (długotrwałej) konferencji. W identyfikatorach rozmów rozróżniana jest wielkość liter i są one po prostu porównywane bajt po bajcie. Skrótowo nagłówek Call-ID można zapisać jako i.\\nPrzykłady:\\nCall-ID: f81d4fae-7dec-11d0-a765-00a0c91e6bf6@biloxi.com\\ni:f81d4fae-7dec-11d0-a765-00a0c91e6bf6@192.0.2.4"
